,numero,año,escolaridad,experiencia,sindicalizado,etnia,casado,salud,sueldo,industria,ocupacion,lugar_residencia
109,212,1984,11,6,no,other,no,no,2.012861311,Manufacturing,Clerical_and_kindred,north_east
110,212,1985,11,7,no,other,no,no,2.096985743,Manufacturing,Operatives_and_kindred,north_east
111,212,1986,11,8,no,other,sí,no,2.14396615,Manufacturing,Operatives_and_kindred,north_east
112,212,1987,11,9,sí,other,sí,no,2.241284366,Manufacturing,Operatives_and_kindred,north_east
113,218,1980,15,2,no,other,no,no,2.013313376,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
114,218,1981,15,3,no,other,no,no,1.962152455,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
115,218,1982,15,4,no,other,no,no,2.275641022,Professional_and_Related Service,Clerical_and_kindred,north_east
116,218,1983,15,5,no,other,sí,no,2.194917563,Business_and_Repair_Service,"Professional, Technical_and_kindred",north_east
117,218,1984,15,6,no,other,sí,no,2.428337298,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
118,218,1985,15,7,no,other,sí,no,2.723036943,Business_and_Repair_Service,Clerical_and_kindred,north_east
119,218,1986,15,8,no,other,sí,no,2.96639632,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
120,218,1987,15,9,no,other,sí,no,3.065051729,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",north_east
121,243,1980,12,4,no,other,no,no,1.564181321,Transportation,"Craftsmen, Foremen_and_kindred",north_east
122,243,1981,12,5,no,other,no,no,1.683545885,Transportation,"Managers, Officials_and_Proprietors",north_east
123,243,1982,12,6,no,other,no,sí,1.690503365,Public_Administration,"Managers, Officials_and_Proprietors",north_east
124,243,1983,12,7,no,other,sí,no,1.660871568,Public_Administration,"Managers, Officials_and_Proprietors",north_east
125,243,1984,12,8,no,other,sí,no,1.698050571,Public_Administration,"Managers, Officials_and_Proprietors",north_east
126,243,1985,12,9,no,other,sí,no,1.671768234,Public_Administration,"Managers, Officials_and_Proprietors",north_east
127,243,1986,12,10,no,other,sí,no,1.63571753,Public_Administration,"Managers, Officials_and_Proprietors",north_east
128,243,1987,12,11,no,other,sí,no,1.786970953,Transportation,"Managers, Officials_and_Proprietors",north_east
129,259,1980,12,3,sí,other,sí,no,2.107189577,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
130,259,1981,12,4,sí,other,sí,no,2.089010993,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
131,259,1982,12,5,sí,other,sí,no,2.042723959,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
132,259,1983,12,6,sí,other,sí,no,1.308155773,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
133,259,1984,12,7,no,other,sí,no,1.488152246,Manufacturing,Operatives_and_kindred,north_east
134,259,1985,12,8,no,other,sí,no,1.542818225,Construction,Operatives_and_kindred,north_east
135,259,1986,12,9,no,other,sí,no,1.535134721,Trade,"Craftsmen, Foremen_and_kindred",north_east
136,259,1987,12,10,no,other,sí,no,1.454335523,Trade,Operatives_and_kindred,north_east
137,260,1980,11,2,sí,other,no,no,1.629912042,Trade,Clerical_and_kindred,north_east
138,260,1981,11,3,sí,other,no,no,1.775113078,Trade,Laborers_and_farmers,north_east
139,260,1982,11,4,no,other,no,no,1.967256367,Manufacturing,Operatives_and_kindred,north_east
140,260,1983,11,5,no,other,sí,no,2.075186291,Manufacturing,"Professional, Technical_and_kindred",north_east
141,260,1984,11,6,no,other,sí,no,2.128833487,Manufacturing,"Professional, Technical_and_kindred",north_east
142,260,1985,11,7,no,other,sí,no,2.268419151,Manufacturing,"Professional, Technical_and_kindred",north_east
143,260,1986,11,8,no,other,sí,no,1.992139096,Manufacturing,Operatives_and_kindred,north_east
144,260,1987,11,9,no,other,sí,no,2.421554457,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
145,309,1980,12,3,no,other,no,no,1.786075653,Business_and_Repair_Service,Operatives_and_kindred,south
146,309,1981,12,4,no,other,no,no,2.280766046,Business_and_Repair_Service,Operatives_and_kindred,north_east
147,309,1982,12,5,no,other,no,no,2.264266229,Business_and_Repair_Service,Operatives_and_kindred,north_east
148,309,1983,12,6,no,other,sí,no,2.275456426,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
149,309,1984,12,7,no,other,sí,no,2.208132424,Business_and_Repair_Service,Operatives_and_kindred,north_east
150,309,1985,12,8,no,other,sí,no,2.199852417,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
151,309,1986,12,9,no,other,sí,sí,2.206899984,Business_and_Repair_Service,Operatives_and_kindred,north_east
152,309,1987,12,10,no,other,sí,no,2.476866911,Manufacturing,Operatives_and_kindred,north_east
153,351,1980,12,3,no,other,no,no,1.643386879,Finance,Clerical_and_kindred,north_east
154,351,1981,12,4,no,other,no,no,1.335580426,Finance,Clerical_and_kindred,north_east
155,351,1982,12,5,no,other,sí,sí,1.522817836,Finance,Clerical_and_kindred,north_east
156,351,1983,12,6,no,other,sí,no,1.418851363,Finance,Clerical_and_kindred,north_east
157,351,1984,12,7,no,other,sí,sí,0.903927473,Finance,Clerical_and_kindred,north_east
158,351,1985,12,8,no,other,sí,no,1.888564099,Transportation,Clerical_and_kindred,north_east
159,351,1986,12,9,no,other,sí,no,1.783449647,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
160,351,1987,12,10,no,other,sí,no,1.698008355,Professional_and_Related Service,"Professional, Technical_and_kindred",north_east
161,353,1980,12,3,no,other,no,no,1.838197203,Manufacturing,Operatives_and_kindred,north_east
162,353,1981,12,4,sí,other,no,no,1.817077277,Manufacturing,Operatives_and_kindred,north_east
163,353,1982,12,5,no,other,no,no,1.671740267,Trade,"Craftsmen, Foremen_and_kindred",north_east
164,353,1983,12,6,no,other,no,no,1.572830501,Manufacturing,Operatives_and_kindred,north_east
165,353,1984,12,7,no,other,no,no,1.682546384,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
166,353,1985,12,8,no,other,no,no,1.58364022,Construction,"Craftsmen, Foremen_and_kindred",north_east
167,353,1986,12,9,no,other,no,no,1.773293188,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
168,353,1987,12,10,no,other,no,no,1.861078925,Business_and_Repair_Service,"Craftsmen, Foremen_and_kindred",north_east
169,383,1980,12,2,no,black,no,no,1.462888179,Manufacturing,Operatives_and_kindred,north_east
170,383,1981,12,3,no,black,no,no,1.570217199,Manufacturing,Operatives_and_kindred,north_east
171,383,1982,12,4,sí,black,no,no,1.656601814,Manufacturing,Operatives_and_kindred,north_east
172,383,1983,12,5,no,black,no,no,1.725410089,Manufacturing,Clerical_and_kindred,north_east
173,383,1984,12,6,no,black,no,no,1.772158543,Manufacturing,Clerical_and_kindred,north_east
174,383,1985,12,7,no,black,no,no,2.011084234,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
175,383,1986,12,8,no,black,no,no,1.991016671,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
176,383,1987,12,9,no,black,no,no,1.952050703,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
177,408,1980,11,2,no,other,no,no,1.652094923,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
178,408,1981,11,3,no,other,sí,no,1.489534984,Manufacturing,Operatives_and_kindred,north_east
179,408,1982,11,4,no,other,sí,no,1.881175701,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
180,408,1983,11,5,no,other,sí,no,2.061031623,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
181,408,1984,11,6,sí,other,sí,no,2.488836221,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
182,408,1985,11,7,sí,other,sí,no,2.43093808,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
183,408,1986,11,8,sí,other,sí,no,2.534560387,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
184,408,1987,11,9,sí,other,sí,no,2.069602509,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
185,424,1980,12,5,no,other,sí,no,2.16583936,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
186,424,1981,12,6,no,other,sí,no,2.325399771,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
187,424,1982,12,7,no,other,sí,no,2.383650546,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
188,424,1983,12,8,no,other,sí,no,2.33721163,Manufacturing,Operatives_and_kindred,north_east
189,424,1984,12,9,no,other,sí,no,2.412507538,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
190,424,1985,12,10,no,other,sí,no,2.384145919,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
191,424,1986,12,11,no,other,sí,no,2.352030017,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
192,424,1987,12,12,no,other,sí,no,2.577756603,Manufacturing,"Craftsmen, Foremen_and_kindred",north_east
193,464,1980,13,2,no,other,no,no,0.972626255,Trade,"Managers, Officials_and_Proprietors",north_east
194,464,1981,13,3,no,other,no,no,1.0031045,Trade,Sales_Workers,north_east
195,464,1982,13,4,no,other,sí,no,1.099635034,Trade,"Managers, Officials_and_Proprietors",north_east
196,464,1983,13,5,no,other,sí,no,1.214584465,Trade,Clerical_and_kindred,north_east
197,464,1984,13,6,no,other,sí,no,1.319241762,Trade,Operatives_and_kindred,north_east
198,464,1985,13,7,no,other,sí,no,1.389742483,Trade,Sales_Workers,north_east
199,464,1986,13,8,no,other,sí,no,1.573538012,Trade,Sales_Workers,north_east
200,464,1987,13,9,no,other,sí,no,1.900699718,Trade,Sales_Workers,north_east
201,483,1980,12,5,no,other,no,no,1.682627076,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
202,483,1981,12,6,no,other,no,no,1.661706341,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
203,483,1982,12,7,no,other,no,no,1.755041886,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
204,483,1983,12,8,sí,other,no,no,1.753450749,Manufacturing,Laborers_and_farmers,nothern_central
205,483,1984,12,9,no,other,no,no,1.618007863,Manufacturing,Operatives_and_kindred,nothern_central
206,483,1985,12,10,no,other,no,no,1.648178741,Manufacturing,Clerical_and_kindred,nothern_central
207,483,1986,12,11,no,other,no,no,1.745894213,Manufacturing,Operatives_and_kindred,nothern_central
208,483,1987,12,12,no,other,no,no,1.727081895,Manufacturing,Operatives_and_kindred,nothern_central
209,556,1980,14,2,no,other,no,no,1.939345469,Trade,Service_Workers,nothern_central
210,556,1981,14,3,no,other,no,no,2.120263536,Transportation,"Professional, Technical_and_kindred",nothern_central
211,556,1982,14,4,no,other,no,no,2.160506994,Transportation,"Professional, Technical_and_kindred",nothern_central
212,556,1983,14,5,no,other,no,no,2.489254115,Transportation,"Managers, Officials_and_Proprietors",nothern_central
213,556,1984,14,6,no,other,no,no,2.375693565,Transportation,"Professional, Technical_and_kindred",nothern_central
214,556,1985,14,7,no,other,no,no,2.29588671,Transportation,"Managers, Officials_and_Proprietors",nothern_central
215,556,1986,14,8,no,other,no,no,2.299090159,Transportation,"Professional, Technical_and_kindred",nothern_central
216,556,1987,14,9,no,other,no,no,2.581879365,Transportation,"Managers, Officials_and_Proprietors",nothern_central
217,560,1980,12,2,no,other,no,no,1.386847306,Transportation,Service_Workers,NA
218,560,1981,12,3,no,other,no,no,2.127581917,Transportation,Service_Workers,NA
219,560,1982,12,4,no,other,no,no,0.9688702,Transportation,Service_Workers,NA
220,560,1983,12,5,no,other,no,no,1.16359891,Trade,Sales_Workers,NA
221,560,1984,12,6,no,other,no,no,1.356619061,Entertainment,"Professional, Technical_and_kindred",NA
222,560,1985,12,7,no,other,no,no,1.41625335,Business_and_Repair_Service,"Managers, Officials_and_Proprietors",NA
223,560,1986,12,8,sí,other,no,no,1.214983197,Transportation,"Managers, Officials_and_Proprietors",NA
224,560,1987,12,9,no,other,no,no,1.639359464,Entertainment,"Professional, Technical_and_kindred",NA
225,569,1980,12,2,no,other,no,no,0.683725042,Trade,"Managers, Officials_and_Proprietors",nothern_central
226,569,1981,12,3,no,other,no,no,1.078989018,Trade,Sales_Workers,nothern_central
227,569,1982,12,4,no,other,no,no,0.839635719,Trade,"Managers, Officials_and_Proprietors",nothern_central
228,569,1983,12,5,no,other,no,no,1.507569032,Trade,Sales_Workers,nothern_central
229,569,1984,12,6,no,other,no,no,1.020651747,Manufacturing,"Managers, Officials_and_Proprietors",nothern_central
230,569,1985,12,7,no,other,no,no,0.542597783,Trade,Sales_Workers,nothern_central
231,569,1986,12,8,no,other,no,no,0.114716314,Trade,Sales_Workers,nothern_central
232,569,1987,12,9,no,other,no,no,0.312851743,Trade,"Professional, Technical_and_kindred",nothern_central
233,583,1980,12,4,no,other,no,no,1.62677216,Trade,"Managers, Officials_and_Proprietors",nothern_central
234,583,1981,12,5,no,other,no,no,1.880875003,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
235,583,1982,12,6,sí,other,no,no,1.74119648,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
236,583,1983,12,7,sí,other,no,no,2.194788523,Manufacturing,Operatives_and_kindred,nothern_central
237,583,1984,12,8,no,other,sí,no,2.083836121,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
238,583,1985,12,9,no,other,sí,no,1.918448185,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
239,583,1986,12,10,no,other,sí,no,2.156713633,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
240,583,1987,12,11,no,other,no,no,1.985040866,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
241,647,1980,12,2,sí,other,no,no,1.396706272,Manufacturing,Operatives_and_kindred,nothern_central
242,647,1981,12,3,sí,other,sí,no,1.519825754,Manufacturing,Clerical_and_kindred,nothern_central
243,647,1982,12,4,sí,other,sí,no,1.509152973,Manufacturing,Clerical_and_kindred,nothern_central
244,647,1983,12,5,sí,other,sí,no,1.645041618,Manufacturing,Clerical_and_kindred,nothern_central
245,647,1984,12,6,sí,other,no,no,1.549014992,Manufacturing,Clerical_and_kindred,nothern_central
246,647,1985,12,7,sí,other,sí,no,1.826956289,Manufacturing,Clerical_and_kindred,nothern_central
247,647,1986,12,8,sí,other,sí,no,1.883680399,Public_Administration,Clerical_and_kindred,nothern_central
248,647,1987,12,9,sí,other,sí,no,2.023660702,Public_Administration,Clerical_and_kindred,nothern_central
249,658,1980,12,4,sí,other,no,no,1.73141724,Manufacturing,Clerical_and_kindred,nothern_central
250,658,1981,12,5,no,other,no,no,1.813758952,Manufacturing,Clerical_and_kindred,nothern_central
251,658,1982,12,6,sí,other,no,no,1.70004831,Manufacturing,Operatives_and_kindred,nothern_central
252,658,1983,12,7,sí,other,no,no,1.939648862,Manufacturing,Clerical_and_kindred,nothern_central
253,658,1984,12,8,no,other,no,no,1.935752711,Manufacturing,Clerical_and_kindred,nothern_central
254,658,1985,12,9,no,other,no,no,2.099785005,Manufacturing,Operatives_and_kindred,nothern_central
255,658,1986,12,10,no,other,no,no,2.192046627,Manufacturing,Clerical_and_kindred,nothern_central
256,658,1987,12,11,no,other,no,no,2.005143046,Trade,Clerical_and_kindred,nothern_central
257,684,1980,12,2,no,other,no,no,2.821782654,Manufacturing,Operatives_and_kindred,nothern_central
258,684,1981,12,3,no,other,no,no,2.179982771,Manufacturing,Operatives_and_kindred,nothern_central
259,684,1982,12,4,no,other,sí,no,2.309426625,Manufacturing,"Craftsmen, Foremen_and_kindred",nothern_central
260,684,1983,12,5,no,other,sí,no,2.25132135,Manufacturing,Operatives_and_kindred,nothern_central
261,684,1984,12,6,no,other,sí,no,2.352296987,Manufacturing,Operatives_and_kindred,nothern_central
262,684,1985,12,7,no,other,sí,no,2.313848285,Manufacturing,Laborers_and_farmers,nothern_central
263,684,1986,12,8,no,other,sí,no,2.253419999,Manufacturing,Laborers_and_farmers,nothern_central
264,684,1987,12,9,no,other,sí,no,2.405352483,Trade,"Professional, Technical_and_kindred",nothern_central
265,711,1980,11,2,no,other,no,no,1.232024505,Trade,Laborers_and_farmers,nothern_central
266,711,1981,11,3,no,other,no,no,1.366491734,Trade,Laborers_and_farmers,nothern_central
267,711,1982,11,4,no,other,no,no,1.690503365,Trade,"Managers, Officials_and_Proprietors",nothern_central
268,711,1983,11,5,no,other,no,no,1.660871568,Trade,"Craftsmen, Foremen_and_kindred",nothern_central
269,711,1984,11,6,no,other,no,no,1.555876082,Trade,Laborers_and_farmers,nothern_central
270,711,1985,11,7,no,other,no,no,-0.714125587,Trade,Sales_Workers,nothern_central
271,711,1986,11,8,no,other,no,no,1.468481032,Trade,Sales_Workers,nothern_central
272,711,1987,11,9,no,other,no,no,0.513005776,Trade,Sales_Workers,nothern_central
273,729,1980,13,2,sí,other,sí,no,1.959579623,Construction,Laborers_and_farmers,nothern_central
274,729,1981,13,3,no,other,no,no,1.893339262,Construction,Laborers_and_farmers,south
275,729,1982,13,4,sí,other,sí,no,3.096215812,Construction,"Managers, Officials_and_Proprietors",south
276,729,1983,13,5,sí,other,sí,no,1.910813312,Construction,Laborers_and_farmers,south
277,729,1984,13,6,no,other,sí,no,1.615264377,Manufacturing,Sales_Workers,NA
278,729,1985,13,7,no,other,sí,no,2.076528143,Manufacturing,Sales_Workers,NA
279,729,1986,13,8,no,other,sí,no,2.107539947,Trade,"Managers, Officials_and_Proprietors",NA
280,729,1987,13,9,no,other,sí,no,2.155585356,Manufacturing,Sales_Workers,NA
