"fecha","precio","habitaciones","baños","area_m2_util","area_m2_construida","pisos","año_construida","codigo_postal"
2014-10-13,1.9e+08,4,1.75,163.5,678.2,1,1956,98008
2015-04-20,2.4e+08,3,1,96.6,470.1,1,1941,98116
2014-06-09,2.05e+08,3,1,131,470.1,1,1956,98133
2015-03-23,3.6e+08,4,2.5,320.5,3686.7,2,2002,98010
2014-12-02,1.95e+08,3,2.5,218.3,473.8,2,2003,98038
2014-12-22,1.8e+08,4,2.5,176.5,547.1,2,1992,98038
2014-10-28,177500000,2,1,187.7,624.3,1,1948,98118
2015-01-28,1.78e+08,3,1.5,156.1,809.4,1,1964,98059
2014-06-02,157500000,3,1,89.2,616.3,1,1952,98125
2014-11-14,4.7e+08,3,1.5,198.8,334.5,2,1925,98119
2014-11-03,152500000,5,2.25,247.1,780.4,1.5,1961,98092
2014-06-18,230500000,3,3.25,257.3,583.2,2,2006,98056
2014-05-19,107500000,2,2.25,149.6,189.5,2,1979,98056
2014-09-04,167500000,2,1.75,95.7,99,2,2006,98136
2014-05-22,121750000,4,2.5,183.9,687.8,2,1988,98023
2015-03-11,549940000,5,2.75,327,590.2,2,2001,98199
2015-02-26,76500000,3,1,111.5,975.5,1,1962,98023
2014-07-25,2.15e+08,3,1.5,146.8,464.5,1,1939,98117
2014-12-23,3.5e+08,3,1.5,146.8,464.5,1,1939,98117
2014-09-08,452500000,4,2.5,306.6,952.3,1,1946,98040
2015-03-30,123750000,3,1.75,182.1,1456.8,1,1967,98032
2014-09-12,99500000,4,1.5,107.8,594.6,1,1975,98023
2014-07-11,1.57e+08,3,1.75,168.2,3883.3,1,1980,98038
2014-05-16,218750000,3,2.5,215.5,3423.2,2,1992,98045
2014-06-11,425415000,3,2.5,192.3,1230.1,1.5,1910,98102
2014-10-27,277500000,3,2,183.9,323.1,1.5,1929,98117
2014-12-12,349975000,3,2.25,203.5,9995.7,2,1983,98077
2014-10-07,5.44e+08,3,2.5,271.3,753.7,2,1950,98004
2014-09-24,1.45e+08,3,1,112.4,3151.2,1,1954,98058
2015-04-02,187500000,3,2.5,217.4,929.5,1,1978,98058
2014-05-23,2.3e+08,3,1,155.1,372.1,1.5,1939,98117
2014-07-23,94250000,2,1.75,115.2,231.6,1,1985,98198
2015-03-05,3.4e+08,4,2.5,291.7,2604.7,2,1991,98077
2014-08-27,2.35e+08,5,1.75,188.6,1146.6,2,1942,98052
2014-07-25,298875000,4,2.5,214.6,894.1,2,1984,98027
2015-03-04,2.85e+08,3,1.75,117.1,309.2,1,1905,98103
2014-09-16,136250000,3,1.75,143.1,1170.6,1,1980,98038
2014-11-24,164975000,3,1.75,193.2,554.5,1,1971,98108
2014-10-28,2.4e+08,4,2.5,300.1,1502.3,2,2001,98001
2014-11-21,370250000,3,3.5,406.9,589.9,2,1900,98117
2014-06-26,259250000,3,3.5,147.7,102.4,3,2010,98103
2014-06-23,102712500,2,1,81.8,629.9,1,1945,98178
2015-01-08,85900000,4,2,145.9,891.9,1,1950,98168
2015-05-11,267500000,4,1,149.6,277,1.5,1925,98144
2015-01-02,3.3e+08,3,2.5,223,601.5,1,1964,98177
2014-11-19,195750000,3,2,134.7,848.4,1,1987,98034
2015-04-06,197500000,2,1,71.5,557.4,1,1953,98117
2014-11-04,222500000,4,1.75,195.1,408.8,1.5,1924,98118
2014-06-18,3.85e+08,3,2.25,270.3,948,2,1990,98052
2015-03-02,7.25e+08,4,2.75,255.5,1652.7,1.5,1914,98004
2014-07-17,222500000,3,2.25,195.1,761.9,1,1967,98178
2014-07-17,1.3e+08,4,2.25,200.7,818.6,1,1978,98023
2014-06-13,411250000,5,3.5,215.5,460.8,2,1926,98103
2015-04-06,2.15e+08,4,2.5,192.3,400.4,2,2004,98065
2015-01-05,1.06e+08,3,1.75,98.5,731.6,1,1986,98092
2015-04-28,330250000,4,2.25,186.7,892.1,1,1986,98027
2014-06-12,3.92e+08,3,3.5,367,10319.5,1.5,1989,98052
2014-05-12,226623000,3,2.5,186.7,212.5,2,2014,98029
2015-01-26,337500000,4,3.5,198.8,211.6,3,2005,98107
2014-08-13,99500000,3,1.75,122.6,1615.6,1,1956,98003
2014-08-05,1.1e+08,4,1.75,187.7,728.4,1,1968,98003
2014-05-29,2.26e+08,4,2.25,240.6,929.2,1,1968,98028
2014-07-07,191250000,2,1,110.6,412.5,1,1981,98125
2014-05-07,259975000,3,2.25,108.7,116,3,2014,98107
2014-06-27,332500000,2,1,103.1,297.3,1,1925,98119
2014-07-08,263850000,5,2.5,262,871,1,1968,98006
2015-05-08,102500000,3,1,149.6,797,1,1962,98058
2015-04-15,2.1e+08,3,1,98.5,752.2,1,1923,98133
2015-02-27,2.5e+08,4,2.25,188.6,791.3,1,1961,98006
2014-12-03,460750000,4,2.5,341,29299.2,2,1994,98077
2014-06-25,4.45e+08,4,1,236.9,371.6,2,1905,98109
2014-08-06,2.15e+08,2,2.5,224.8,5665.6,2,2007,98027
2014-10-30,1.29e+08,5,2,210,1161.3,1,1960,98032
2014-11-04,255500000,3,1,132.9,321,1,1947,98103
2014-08-20,266085000,3,2,126.3,287.1,2,1990,98103
2015-04-09,2.8e+08,3,1,103.1,464.5,1.5,1947,98107
2015-03-31,141475000,3,1,116.1,761.8,1,1954,98003
2015-04-01,1.125e+09,4,3.25,481.2,1844.1,2,2006,98006
2014-05-16,1.75e+08,1,1,65,473.8,1,1942,98115
2014-07-28,107500000,3,1,109.6,712.5,1,1967,98058
2014-11-20,3.25e+08,5,3.5,367.9,2345.3,2,1996,98056
2014-08-07,1.6e+08,4,2.75,245.3,696.8,1,1967,98023
2014-11-13,123500000,3,2,118,668.7,1.5,1916,98022
2014-10-03,1.6e+08,4,1.75,163.5,1038.7,1,1968,98059
2014-05-07,127500000,5,2.25,191.4,801.9,1,1962,98146
2015-03-09,2.19e+08,3,1.75,165.4,897.4,1,1962,98034
2015-03-04,4.5e+08,3,2.5,315.9,1542.5,2,2000,98075
2014-06-20,220500000,3,2.75,177.4,676.3,1,1979,98034
2014-08-12,2.1e+08,3,2,187.7,3561.2,1,1975,98027
2014-12-08,1.85e+08,3,1.75,146.8,650.3,1,1976,98034
2015-02-19,134975000,2,1.75,124.5,673.5,1,1949,98198
2015-03-24,403550000,4,2.5,249,418,2,1999,98006
2014-06-05,326500000,3,2.5,249,905.8,1,1979,98034
2014-06-11,185750000,3,2,127.3,774.4,1,1964,98133
2015-03-16,1.42e+08,3,1.75,144.9,1951,1,1954,98166
2015-01-02,1.36e+08,3,1.75,200.7,663.3,1,1978,98023
2014-05-02,156500000,3,1.5,124.5,735,1.5,1955,98133
2015-01-16,458750000,4,2.5,360.5,3251.9,2,1984,98033
2014-09-29,336500000,4,2.25,240.6,760.9,2,1980,98006
2015-02-10,212500000,3,2.5,104.1,102.2,2,2008,98122
2014-07-09,199975000,5,2.75,183,501.7,1,1986,98144
2014-05-30,192500000,3,1,113.3,445.9,1,1901,98122
2014-11-17,134975000,3,1.5,181.2,702.3,1,1975,98022
2015-01-07,1.65e+08,2,1,125.4,763.7,1,1949,98177
2014-07-25,1.3e+08,3,2.5,155.1,538.6,2,1988,98030
2015-04-14,2.35e+08,4,3,221.1,476.1,1.5,1925,98126
2014-06-13,294500000,4,3,226.7,891.9,2,1961,98034
2014-07-23,81750000,2,1.5,97.5,317.6,2,1996,98038
2014-09-05,417500000,4,2.75,290.8,1246,2,1993,98052
2014-11-21,547500000,5,3,380,1193.8,1,1986,98033
2015-04-15,134500000,4,1.75,138.4,929,1,1969,98023
2014-05-05,2.8e+08,3,2.5,176.5,812.3,2,1987,98074
2015-04-18,307500000,4,1,123.6,223,1.5,1901,98103
2014-12-05,292594000,3,2.25,207.2,931.4,1,1975,98052
2014-08-18,152500000,3,1.75,153.3,880.7,1,1977,98034
2014-11-05,83475000,3,1,110.6,819.4,1,1959,98058
2014-09-12,399500000,3,2.5,198.8,919.5,1,1959,98040
2014-06-25,2e+08,3,2.5,202.5,697.5,1,1962,98133
2014-12-01,1.15e+08,3,1,98.5,950.2,1,1948,98155
2014-05-15,128441500,3,2.5,157,466.8,2,2003,98023
2014-11-11,211500000,4,2,183,602,1.5,1920,98108
2014-07-23,232500000,3,2.5,199.7,379.4,2,2007,98126
2015-01-13,2.2e+08,3,2.5,177.4,6151.2,2,1997,98024
2014-10-14,192500000,3,1.75,125.4,14406.7,1,1969,98038
2015-03-11,1.05e+08,3,1,79.9,1089.3,1,1943,98056
2014-11-12,148500000,3,2.5,180.2,1389.1,2,1994,98042
2014-07-16,2.35e+08,3,1,93.8,464.5,1,1952,98107
2014-08-04,113250000,3,1.5,120.8,684.7,1,1976,98023
2015-03-03,137125000,3,1,84.5,785,1,1962,98059
2014-08-04,4.2e+08,4,1.75,230.4,1022.9,1,1966,98040
2014-09-19,338950000,3,2.5,226.7,426.1,2,2010,98052
2015-02-05,212500000,3,1,93.8,544.8,1,1915,98116
2014-11-23,90125000,2,0.75,83.6,891.9,1,1941,98166
2014-07-17,2.32e+08,6,3,213.7,316.2,2,1920,98133
2015-04-22,1.6e+08,4,2.25,144,704.1,2,1993,98038
2014-07-17,312752000,3,2.25,118,145.5,2,2014,98105
2014-05-15,296250000,4,2.5,208.1,1117.8,1,1983,98074
2015-01-14,232500000,3,2.5,252.1,1666.3,2,2005,98001
2014-05-27,238500000,4,2.75,159.8,582.5,2,1978,98118
2015-01-15,1.4e+08,2,1,79,1523.6,1,1923,98168
2015-02-21,752500000,5,3,306.6,3109.8,1,1957,98040
2014-07-03,222919000,3,2.5,209,528.8,2,2000,98146
2014-08-28,5.36e+08,2,2.25,362.3,1380.9,1,1947,98144
2014-10-23,233500000,2,1.5,122.6,1003.4,1,1947,98177
2014-08-22,3.43e+08,4,2.5,256.4,598.3,2,1999,98075
2014-06-05,139975000,3,2,162.6,905.8,1,1961,98198
2014-09-04,263500000,4,2.25,216.5,1805.7,2,1987,98011
2014-09-18,162500000,3,2.25,206.2,1488.3,1,1966,98030
2014-09-03,1.64e+08,3,2.25,187.7,778.4,2,1994,98038
2014-06-04,1.95e+08,3,2.25,116.1,696.8,1,1942,98146
2015-03-09,239975000,2,2,140.3,605.4,1,2005,98053
2014-05-29,132475000,4,2.25,159.8,906.1,1,1978,98023
2015-01-15,117500000,3,1,132.9,1416.4,1,1961,98031
2015-03-03,258250000,3,2.5,137.5,439.3,2,2004,98053
2015-04-13,327500000,2,1.75,134.7,1467.7,2,1915,98166
2014-06-16,2.5e+08,4,2.75,211.8,1425.8,1,1960,98059
2014-11-21,157500000,6,2.75,273.1,682.8,1,1978,98023
2014-11-20,106500000,2,1,92.9,947.6,1,1961,98024
2014-09-02,237500000,3,1.5,230.4,490.5,1.5,1947,98108
2014-06-10,512500000,5,4,349.3,2605,2,1983,98033
2015-04-09,2.08e+08,3,2,206.2,8760.8,1,1976,98010
2015-03-20,2.05e+08,4,1,183,440.4,1.5,1904,98122
2014-07-01,4e+08,3,3.5,355.8,20557.9,2,1993,98077
2014-05-29,2.36e+08,6,2.5,409.7,1303.8,1,1965,98003
2014-12-08,112500000,3,1.75,132.9,790.1,1,1968,98003
2014-10-01,1.05e+08,2,1,77.1,557.4,1,1940,98126
2015-01-27,227500000,2,1,132.9,464.5,1.5,1925,98115
2015-04-27,112500000,3,1,120.8,772.6,1,1954,98002
2014-08-26,2.4e+08,2,1,95.7,284.3,1,1918,98103
2015-02-12,181500000,3,2.5,254.6,1102.9,2,1990,98023
2014-09-29,1.2e+09,4,2.5,339.1,776.1,1,2000,98074
2015-02-26,90500000,2,1.5,66.9,475.7,1,1954,98106
2015-03-14,1.25e+08,4,2,186.7,679.3,1,1976,98002
2015-04-22,240500000,3,1.75,144.9,278.7,1,1918,98103
2014-09-23,1.3e+08,3,2,168.2,669.7,1,1978,98032
2014-05-13,227500000,4,2.5,312.2,714,2,2001,98058
2015-04-01,207500000,3,2.25,140.3,3365.3,2,1991,98045
2015-04-21,174750000,3,1,130.1,328.7,1,1953,98118
2014-09-29,122500000,3,2.5,160.7,691.4,2,1987,98030
2014-05-19,296250000,2,2,131.9,853.9,1.5,1928,98115
2014-10-20,192500000,4,1.75,219.3,707.9,1,1955,98106
2015-02-11,157500000,3,1.75,146.8,1064.2,1,1974,98059
2014-11-24,127500000,3,1,114.3,944.8,1,1979,98045
2014-08-29,346500000,4,2.5,228.5,411.1,2,2006,98052
2014-12-02,3.9e+08,3,1,154.2,408.8,1.5,1911,98112
2014-10-24,118500000,3,1.75,118,786.9,1,1960,98198
2014-12-16,262500000,3,2.25,195.1,3763.5,2,1979,98074
2015-04-28,212500000,2,1,71.5,468.2,1,1930,98144
2014-10-27,184950000,1,0.75,70.6,936.4,1,1936,98070
2014-05-19,1.45e+08,4,2.5,157.9,676.3,2,1988,98031
2014-09-29,142500000,3,1,104.1,994.2,1,1954,98106
2014-08-14,207500000,2,1,99.4,418.1,1,1937,98115
2015-04-09,136250000,3,2.5,192.3,919.7,1,1979,98023
2015-05-04,1.45e+09,4,3.25,469.2,1867.4,1.5,1982,98004
2014-10-07,682500000,4,4.75,493.3,5327.6,2,1989,98077
2015-05-01,2.18e+08,2,1,96.6,700.3,1,1939,98133
2014-10-17,1.05e+08,3,1,157.9,1058.2,1,1967,98003
2014-09-25,1.18e+08,3,1,120.8,547.9,1,1961,98178
2014-11-24,165500000,3,1.75,100.3,121.3,1,1954,98199
2015-03-20,182500000,3,2.5,246.5,419,2,2006,98031
2015-01-27,2.25e+08,3,2,212.7,1510.4,1,1960,98058
2014-11-13,3.85e+08,4,2.75,354.9,2443.3,2,2014,98028
2015-05-05,227500000,4,2.5,205.3,4587.1,1,1997,98038
2015-05-05,202500000,3,1.75,222,557.4,1,1908,98118
2014-07-03,152450000,4,1.75,241.5,1052.1,1,1969,98031
2015-02-27,8.5e+07,2,1,79.9,489.1,1,1931,98178
2015-05-13,1.025e+09,5,3,355.8,787.8,2,1905,98122
2014-06-30,3.9e+08,4,2.5,325.2,654.8,2,2005,98053
2015-04-10,1.65e+08,3,3,224.8,1296.8,1,1988,98028
2014-09-05,1.85e+08,4,2.5,252.7,805.1,2,1992,98030
2014-10-17,233500000,5,2.25,232.3,1254.2,1,1979,98072
2015-02-09,202500000,3,1.75,155.1,624.3,1,1980,98034
2014-07-02,337500000,5,2.25,269.4,956.9,1,1985,98006
2014-08-12,2.5e+08,2,1,152.4,1309.9,1,1954,98006
2014-07-23,194999500,4,2.5,175.6,1465.1,2,1968,98166
2015-02-24,3.15e+08,4,1.75,274.1,838.4,1,1975,98034
2014-10-22,1.8e+08,4,2.5,200.7,885.2,2,1992,98001
2014-10-02,2.9e+08,4,3,304.7,1027.5,2,1986,98056
2014-07-09,2.75e+08,3,2,183,387,2,1929,98126
2014-07-10,439500000,4,2.5,312.2,2054.2,2,1994,98075
2014-08-22,132500000,3,2,122.6,832.3,1,1993,98042
2015-03-04,223250000,3,2.5,246.2,676.9,2,1990,98059
2014-06-02,2.02e+08,3,1.5,188.6,825,1,1963,98108
2014-05-29,133750000,3,1.75,147.7,1106.8,1,1957,98188
2014-06-24,1537500000,4,5,422.7,1731.8,1,2002,98074
2014-08-11,167500000,3,2.5,226.7,709,2,1998,98003
2014-06-19,2.88e+08,3,2.5,180.2,836.1,1,1948,98117
2015-04-01,104316500,3,2.5,189.5,354,2,2006,98038
2015-01-15,157500000,3,2.25,204.4,812.9,1,1964,98166
2015-02-17,362500000,3,1.75,178.4,306.6,1,1913,98112
2015-04-03,2.75e+08,4,2.75,167.2,720,1,1965,98177
2014-06-12,305375000,4,2.25,202.5,677.9,2,1984,98074
2015-02-28,275350000,2,1,93.8,464.5,1.5,1908,98105
2015-01-08,332500000,4,2.75,308.4,982.4,2,1960,98056
2015-02-09,4.17e+08,4,2.5,220.2,371.6,1.5,1928,98144
2014-10-23,100500000,5,1.75,154.2,7284.3,1.5,1915,98065
2014-05-02,1.192e+09,5,2.5,339.1,840.8,2,1921,98119
2014-06-18,6.92e+08,4,3.25,398.6,1124.4,1,1997,98006
2014-12-09,7e+08,4,3.25,398.6,1124.4,1,1997,98006
2014-11-05,152500000,4,2.25,181.2,715.4,1,1979,98058
2015-04-08,243500000,3,2,240.6,1305.5,1,1948,98133
2015-05-11,1.95e+08,3,2.5,179.3,6029.8,1,1988,98042
2014-07-23,2.74e+08,2,1,136.6,359,1,1916,98103
2014-11-22,134375000,4,1,74.3,815.2,1,1943,98166
2014-05-13,409950000,5,2.75,292.6,661.4,2,2013,98052
2014-10-23,2.6e+08,3,2.25,188.6,1505,2,1984,98027
2014-07-21,1.15e+08,3,2,134.7,1040.9,1,2003,98001
2015-02-02,1.2e+08,3,1.75,140.3,952.1,1,1969,98023
2014-09-05,1.16e+08,2,1,115.2,1123.4,1,1922,98146
2015-03-11,120250000,2,1,115.2,1123.4,1,1922,98146
2014-10-27,137487500,3,2.5,281.5,4181,2,1987,98077
2014-09-05,3.7e+08,4,2,190.5,408.8,1.5,1922,98102
2015-04-28,93187500,3,1,92.9,709.4,1,1952,98166
2014-07-25,3.95e+08,3,2.25,220.2,955.9,1,1977,98005
2014-09-16,4.4e+08,4,3.5,260.1,627.1,2,1951,98105
2015-04-16,139500000,6,1.75,208.1,1038.7,2,1955,98198
2014-07-29,147500000,3,2,168.2,978.3,1,1991,98022
2015-04-08,3.2e+08,2,1,99.4,464.5,1,1924,98103
2014-07-03,4.7e+08,4,2,231.3,884.9,2,1968,98040
2014-10-07,1.3e+08,4,2.5,182.1,486.6,2,2003,98038
2014-06-02,279950000,3,2.75,272.2,517.4,1,2004,98072
2014-07-22,395750000,4,2,140.3,325.2,1.5,1911,98103
2014-08-26,132500000,3,1.75,131.9,766.4,1,1954,98133
2015-05-01,122500000,3,1.75,161.7,1072.8,1,1954,98178
2015-04-24,242500000,4,1.75,237.8,4087.3,2,1962,98052
2014-11-06,3.42e+08,4,3.5,282.4,781.7,2,2010,98059
2014-09-09,212500000,3,1.75,232.3,635.5,1,1957,98125
2014-10-17,154800000,4,1.75,118.5,1858.1,1,1991,98070
2014-07-18,276125000,4,2.5,239.7,541,2,2002,98065
2014-07-23,82500000,4,1,92.9,662.8,1,1943,98178
2014-12-29,119950000,4,1,92.9,662.8,1,1943,98178
2014-12-05,1.6e+08,2,1,99.4,3031.7,1,1930,98059
2014-10-21,103300000,3,2,129.1,1250.8,1,1987,98030
2015-04-16,193500000,4,1.75,232.3,714.4,1,1973,98155
2014-06-04,149500000,1,0.75,52,1126,1,1967,98014
2014-09-22,427500000,4,2.75,210.9,971.8,2,1965,98040
2015-01-26,157500000,3,1,176.5,1337.8,1,1954,98166
2014-12-03,218750000,2,1,92,289.9,1,1907,98103
2015-03-24,1.26e+08,4,1.5,144,1839.5,1,1969,98001
2014-06-04,187500000,4,1.75,204.4,694.4,1,1955,98118
2014-08-06,1.5e+08,4,2.5,177.4,451.7,2,2005,98038
2014-10-06,2.1e+08,4,1,162.6,891.9,1.5,1954,98006
2014-05-05,4.5e+08,3,1,123.6,7243.8,1,1928,98033
2014-08-05,339950000,3,2.5,226.7,534.2,2,2000,98116
2014-06-05,231500000,3,2.5,152.4,2784.3,2,1992,98053
2014-08-28,1.9e+08,5,2.5,256.4,1053.5,2,1978,98059
2014-12-10,164750000,4,2.5,169.1,735,2,1994,98038
2014-08-19,302475000,3,2.5,196,521,1,2013,98033
2014-09-17,397500000,5,2.5,282.4,889.1,1,1966,98006
2015-01-30,232500000,3,2,170.9,3756.8,2,1994,98045
2015-03-26,336500000,4,2.5,277.8,966.2,2,2002,98166
2014-10-01,4.05e+08,4,2.5,327,1432.6,2,1991,98074
2015-04-23,392500000,4,2.75,226.7,6448.9,1,1989,98075
2014-11-20,1.69e+08,4,3,194.2,696.8,1,1986,98056
2014-12-04,1.4e+08,3,2.25,132.9,670.9,2,1993,98056
2014-10-01,157500000,4,2.25,202.5,999.1,1,1954,98133
2015-03-24,2.65e+08,4,2.25,202.5,999.1,1,1954,98133
2014-12-23,1.9e+08,5,3,320.5,921,2,2004,98023
2014-08-11,148500000,3,2.25,134.7,702.5,2,1994,98056
2014-05-20,3.65e+08,4,2.5,300.1,681.1,2,2004,98075
2014-06-09,2.25e+08,3,1.75,152.4,1254.2,1,1940,98125
2014-10-27,137500000,3,3,147.7,720,1,1997,98038
2015-04-29,297500000,4,2,187.7,264.7,2,1960,98115
2015-04-21,217500000,3,1.5,120.8,311,1.5,1904,98144
2014-09-16,1.35e+08,2,1.5,128.2,19505.8,1,1954,98011
2014-08-05,4.75e+08,3,3,375.3,1332,2,1986,98077
2015-03-13,194500000,4,2.25,197.9,495.8,2,2001,98019
2015-01-21,2.8e+08,4,2.25,236.9,724.6,1,1968,98052
2014-07-28,6.75e+08,5,3.5,445.9,1392.1,2,1998,98006
2014-11-11,399500000,4,2.25,233.2,1076.3,2,1969,98040
2014-06-25,182750000,3,2,131,891.9,1,1983,98072
2014-05-15,126175000,3,2,153.3,683,1,1979,98058
2014-09-05,201975000,4,2.5,197,1280.2,2,1993,98146
2014-08-01,192500000,4,1.5,189.5,996.5,1,1954,98177
2014-12-10,172500000,4,1,144,707.9,1.5,1957,98106
2014-09-17,2.45e+08,3,2.75,183.9,290.6,2,1979,98008
2014-06-18,1.65e+08,3,2.5,148.6,2506.2,2,2005,98019
2014-05-12,463500000,4,2.75,306.6,1123.2,2,1953,98004
2014-07-28,5.59e+08,4,2.5,356.7,1544,2,1983,98040
2015-04-30,1.65e+08,2,1,113.3,929,1,1950,98028
2015-03-09,2.65e+08,5,2.25,252.7,817.5,1,1958,98008
2014-06-23,182500000,4,2,180.2,2378.3,1,1962,98006
2014-06-19,189375000,3,2.5,200.7,278.7,1.5,1909,98118
2014-06-19,134950000,4,1.75,142.1,812.9,1.5,1968,98058
2015-03-06,278500000,3,3.5,158.9,194.7,2,2008,98122
2014-08-25,1.8e+08,4,1.75,346.5,1577.5,1,1974,98022
2015-04-22,1.76e+08,2,1,87.3,464.5,1,1937,98117
2015-02-24,218500000,3,2.5,162.6,2077,2,1994,98045
2014-06-18,161250000,4,2.5,169.1,627.4,2,1994,98038
2014-09-12,3.25e+08,3,3.25,140.3,185.8,2,2001,98116
2014-08-06,2.25e+08,3,2,119.8,112.7,3,2001,98103
2015-04-17,139250000,3,2,145.9,487.7,1,1998,98092
2015-04-27,182475000,4,2.5,179.3,646.3,2,1995,98055
2014-09-11,4.2e+08,4,3.5,263.8,3729,1,1986,98038
2015-03-18,1.34e+08,3,2.5,144,755.7,2,1991,98031
2014-07-16,258767000,2,1,77.4,13373.1,1,2006,98070
2014-11-04,316462500,3,2.5,277.8,2995.1,2,1978,98077
2014-07-23,288750000,3,2.5,185.8,673.6,2,1995,98034
